id,Neighbourhood Cleansed
1267,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
1268,"Dupont Circle, Connecticut Avenue/K Street"
1269,"Brightwood Park, Crestwood, Petworth"
1270,Hernals
1271,Ottakring
1272,Dbling
1273,"North Cleveland Park, Forest Hills, Van Ness"
1274,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
1275,"Colonial Village, Shepherd Park, North Portal Estates"
1276,"Hawthorne, Barnaby Woods, Chevy Chase"
1277,Historic Anacostia
1278,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
1279,"Capitol Hill, Lincoln Park"
1280,Stonegate-Queensway
1281,Bryant
1282,Danforth East York
1283,Dorset Park
1284,Kennedy Park
1285,Kingsview Village-The Westway
1286,Runnymede-Bloor West Village
1287,Henry Farm
1288,Guildwood
1289,Agincourt North
1290,Englemount-Lawrence
1291,Lawrence Park North
1292,Weston-Pellam Park
1293,Willowdale West
1294,Blake-Jones
1295,Bedford Park-Nortown
1296,Shaughnessy
1297,Lawrence Park South
1298,Milliken
1299,Tessera
1300,Mid-Beacon Hill
1301,Briarcliff
1302,Marghera
1303,Favoriten
1304,Hietzing
1305,Meidling
1306,Rudolfsheim-Fnfhaus
1307,Margareten
1308,Victory Heights
1309,Whittier Heights
1310,Roosevelt
1311,Lower Queen Anne
1312,Wedgwood
